DEB [20260702-15:02:09.948] thr=1   paramiko.transport: starting thread (client mode): 0xd4d7ec90
DEB [20260702-15:02:13.645] thr=3   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20260702-15:02:13.645] thr=3   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20260702-15:02:13.645] thr=3   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20260702-15:02:13.645] thr=3   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20260702-15:02:13.646] thr=3   paramiko.transport: client lang: <none>
DEB [20260702-15:02:13.646] thr=3   paramiko.transport: server lang: <none>
DEB [20260702-15:02:13.646] thr=3   paramiko.transport: kex follows: False
DEB [20260702-15:02:13.646] thr=3   paramiko.transport: === Key exchange agreements ===
DEB [20260702-15:02:13.646] thr=3   paramiko.transport: Strict kex mode: True
DEB [20260702-15:02:13.646] thr=3   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20260702-15:02:13.646] thr=3   paramiko.transport: HostKey: ssh-ed25519
DEB [20260702-15:02:13.646] thr=3   paramiko.transport: Cipher: aes128-ctr
DEB [20260702-15:02:13.646] thr=3   paramiko.transport: MAC: hmac-sha2-256
DEB [20260702-15:02:13.647] thr=3   paramiko.transport: Compression: none
DEB [20260702-15:02:13.647] thr=3   paramiko.transport: === End of kex handshake ===
DEB [20260702-15:02:14.046] thr=3   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20260702-15:02:14.046] thr=3   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20260702-15:02:14.047] thr=3   paramiko.transport: Switch to new keys ...
DEB [20260702-15:02:14.047] thr=3   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20260702-15:02:14.047] thr=3   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ssh-ed25519@openssh.com,sk-ecdsa-sha2-nistp256@openssh.com,rsa-sha2-512,rsa-sha2-256', 'publickey-hostbound@openssh.com': b'0', 'ping@openssh.com': b'0'}
DEB [20260702-15:02:14.048] thr=2   paramiko.transport: Trying SSH key b'7d3775acdbbd05d14fcfb205625b1590'
DEB [20260702-15:02:14.560] thr=3   paramiko.transport: userauth is OK
DEB [20260702-15:02:14.560] thr=3   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20260702-15:02:14.560] thr=3   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256']
DEB [20260702-15:02:14.561] thr=3   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ssh-ed25519@openssh.com', 'sk-ecdsa-sha2-nistp256@openssh.com', 'rsa-sha2-512', 'rsa-sha2-256']
DEB [20260702-15:02:14.561] thr=3   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20260702-15:02:14.763] thr=3   paramiko.transport: Authentication (publickey) failed.
DEB [20260702-15:02:14.763] thr=2   paramiko.transport: Trying SSH agent key b'71fb3af89c89840e4a3d73239b1e08c2'
DEB [20260702-15:02:14.966] thr=3   paramiko.transport: userauth is OK
INF [20260702-15:02:15.109] thr=3   paramiko.transport: Authentication (publickey) failed.
DEB [20260702-15:02:15.109] thr=2   paramiko.transport: Trying SSH agent key b'f632eb5a8b54aac7617dd87d24ce3100'
DEB [20260702-15:02:15.272] thr=3   paramiko.transport: userauth is OK
DEB [20260702-15:02:15.272] thr=3   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20260702-15:02:15.272] thr=3   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256']
DEB [20260702-15:02:15.273] thr=3   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ssh-ed25519@openssh.com', 'sk-ecdsa-sha2-nistp256@openssh.com', 'rsa-sha2-512', 'rsa-sha2-256']
DEB [20260702-15:02:15.273] thr=3   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20260702-15:02:15.481] thr=3   paramiko.transport: Authentication (publickey) failed.
DEB [20260702-15:02:15.589] thr=2   paramiko.transport: Trying discovered key b'f632eb5a8b54aac7617dd87d24ce3100' in /home/naveen/.ssh/id_rsa
DEB [20260702-15:02:15.723] thr=3   paramiko.transport: userauth is OK
DEB [20260702-15:02:15.723] thr=3   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20260702-15:02:15.723] thr=3   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256']
DEB [20260702-15:02:15.723] thr=3   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ssh-ed25519@openssh.com', 'sk-ecdsa-sha2-nistp256@openssh.com', 'rsa-sha2-512', 'rsa-sha2-256']
DEB [20260702-15:02:15.723] thr=3   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20260702-15:02:15.991] thr=3   paramiko.transport: Authentication (publickey) failed.
DEB [20260702-15:02:15.992] thr=2   paramiko.transport: Trying discovered key b'71fb3af89c89840e4a3d73239b1e08c2' in /home/naveen/.ssh/id_ed25519
DEB [20260702-15:02:16.169] thr=3   paramiko.transport: userauth is OK
INF [20260702-15:02:16.400] thr=3   paramiko.transport: Authentication (publickey) failed.
